Make,Model,Variant,Year,Location,Fuel,Engine,Transmission,KM_driven,Car_Age,Price_in_lacs
honda,civic,vti oriel prosmatec 1.8 i-vtec,2013,Multan,Petrol,1800.0,Automatic,145000,12,32.0
daihatsu,mira,x sa,2017,Hyderabad,Petrol,660.0,Automatic,46000,8,30.75
honda,city,aspire 1.5 i-vtec,2017,Kamra,Petrol,1500.0,Manual,92000,8,37.0
honda,civic,vti 1.6,1996,Quetta,Petrol,1600.0,Manual,1239,29,12.5
toyota,corolla,xli vvti,2011,Gujrat,Petrol,1300.0,Manual,180000,14,3416.0
honda,city,1.3 i-vtec,2015,Lahore,Petrol,1300.0,Manual,119000,10,32.6
toyota,corolla,altis automatic 1.6,2018,Islamabad,Petrol,1600.0,Automatic,130000,7,50.2
suzuki,mehran,vxr,2012,Karachi,Petrol,800.0,Manual,190005,13,9.25
toyota,corolla,altis grande x cvt-i 1.8 beige interior,2022,Mirpur khas,Petrol,1800.0,Automatic,50000,3,6.4
suzuki,alto,vxr,2024,Rawalpindi,Petrol,660.0,Manual,22550,1,28.3
toyota,corolla,xli vvti,2010,Rawalpindi,Petrol,1300.0,Manual,134081,15,25.5
honda,city,1.2l m/t,2021,Pattoki,Petrol,1200.0,Manual,100000,4,9.5
suzuki,alto,gii,2008,Mandi bahauddin,Petrol,660.0,Automatic,93986,17,19.25
toyota,corolla,xli,2007,Okara,Petrol,1300.0,Manual,473000,18,20.0
toyota,corolla,gli 1.3 vvti,2011,Lahore,Petrol,1300.0,Manual,160000,14,26.5
toyota,prado,tz 3.0d,2001,Islamabad,Diesel,3000.0,Automatic,145000,24,55.0
suzuki,cultus,vx (cng),2005,Karachi,CNG,1000.0,Manual,56586,20,7.4
toyota,corolla,altis grande cvt-i 1.8,2015,Lahore,Petrol,1800.0,Automatic,131000,10,45.5
daihatsu,mira,l sa iii,2021,Rawalpindi,Petrol,660.0,Automatic,62251,4,30.5
toyota,aqua,s,2014,Karachi,Hybrid,1500.0,Automatic,161058,11,32.0
toyota,vitz,f 1.0,2015,Lahore,Petrol,1000.0,Automatic,87490,10,33.0
toyota,fortuner,2.8 sigma 4,2018,Faisalabad,Diesel,2800.0,Automatic,104000,7,132.0
suzuki,swift,dlx automatic 1.3 navigation,2019,Karachi,Petrol,1300.0,Automatic,68380,6,28.5
honda,civic,oriel 1.8 i-vtec cvt,2021,Islamabad,Petrol,1800.0,Automatic,53377,4,65.5
honda,city,1.3 i-vtec prosmatec,2019,Lahore,Petrol,1300.0,Automatic,85000,6,39.85
toyota,corolla,gli 1.3 vvti,2011,Lahore,Petrol,1300.0,Manual,160000,14,26.5
daihatsu,move,custom g,2014,Islamabad,Petrol,660.0,Automatic,71000,11,24.5
suzuki,cultus,vxri,2008,Lahore,Petrol,1000.0,Manual,234568,17,10.75
toyota,corolla,gli 1.3 vvti,2012,Chakwal,Petrol,1300.0,Manual,150000,13,29.0
proton,x70,premium fwd,2021,Lahore,Petrol,1500.0,Automatic,68000,4,60.56
dfsk,glory 580,pro,2022,Islamabad,Petrol,1500.0,Automatic,70200,3,48.0
suzuki,wagon r,vxl,2021,Islamabad,Petrol,1000.0,Manual,31728,4,26.5
toyota,crown,royal saloon g,2003,Islamabad,Petrol,3000.0,Automatic,152321,22,38.5
honda,hr-v,vti-s,2023,Islamabad,Petrol,1500.0,Automatic,102000,2,64.0
suzuki,cultus,vxr,2018,Lahore,Petrol,1000.0,Manual,95000,7,23.0
kia,stonic,ex+,2025,Karachi,Petrol,1400.0,Automatic,9283,0,58.0
honda,civic,oriel 1.8 i-vtec cvt,2021,Islamabad,Petrol,1800.0,Automatic,88070,4,65.0
honda,city,1.3 i-vtec,2016,Bahawalpur,Petrol,1300.0,Manual,81000,9,33.75
toyota,corolla,gli 1.3 vvti,2009,Islamabad,Petrol,1300.0,Manual,260000,16,28.5
suzuki,swift,glx cvt,2022,Karachi,Petrol,1200.0,Automatic,26000,3,43.5
suzuki,ravi,euro ii,2020,Jhelum,Petrol,800.0,Manual,35000,5,13.0
mitsubishi,pajero,exceed automatic 2.8d,1994,Sialkot,Diesel,2800.0,Automatic,180000,31,25.0
daihatsu,move,custom rs sa,2021,Lahore,Petrol,660.0,Automatic,16900,4,34.7
toyota,corolla,altis sr cruisetronic 1.8,2011,Lahore,Petrol,1800.0,Automatic,100876,14,30.0
audi,a3,1.2 tfsi,2018,Karachi,Petrol,1200.0,Automatic,40386,7,70.0
toyota,c-hr,g nero,2019,Islamabad,Hybrid,1800.0,Automatic,75883,6,88.0
kia,picanto,1.0 at,2024,Karachi,Petrol,1000.0,Automatic,5292,1,36.0
toyota,aqua,z,2021,Lahore,Hybrid,1500.0,Automatic,114000,4,64.5
daihatsu,mira,l sa iii,2022,Rawalpindi,Petrol,660.0,Automatic,11142,3,37.0
toyota,corolla,altis cvt-i 1.8,2019,Islamabad,Petrol,1800.0,Automatic,79000,6,53.0
toyota,roomy,xs,2022,Faisalabad,Petrol,1000.0,Automatic,106000,3,39.75
toyota,corolla,altis grande cvt-i 1.8,2017,Lahore,Petrol,1800.0,Automatic,76234,8,48.9
daihatsu,mira,b sa iii,2022,Lahore,Petrol,660.0,Automatic,10000,3,37.25
daihatsu,mira,l sa iii,2021,Rawalpindi,Petrol,660.0,Automatic,62251,4,30.5
toyota,aqua,s,2014,Karachi,Hybrid,1500.0,Automatic,161058,11,32.0
suzuki,swift,dlx 1.3,2017,Islamabad,Petrol,1300.0,Manual,74000,8,26.5
suzuki,alto,eco-s,2013,Lahore,Petrol,660.0,Automatic,148000,12,22.25
toyota,vitz,f 1.0,2015,Lahore,Petrol,1000.0,Automatic,87490,10,33.0
toyota,yaris sedan,ativ mt 1.3,2020,Karachi,Petrol,1300.0,Manual,60000,5,36.0
suzuki,alto,vxr,2023,Multan,Petrol,660.0,Manual,45000,2,25.8
toyota,fortuner,2.8 sigma 4,2018,Faisalabad,Diesel,2800.0,Automatic,104000,7,132.0
suzuki,cultus,vxri,2008,Lahore,Petrol,1000.0,Manual,58000,17,12.0
suzuki,bolan,vx,2011,Multan,Petrol,800.0,Manual,76980,14,8.0
suzuki,swift,dlx automatic 1.3 navigation,2019,Karachi,Petrol,1300.0,Automatic,68380,6,28.5
toyota,prius,s,2021,Lahore,Hybrid,1800.0,Automatic,80000,4,80.0
honda,civic,oriel 1.8 i-vtec cvt,2021,Islamabad,Petrol,1800.0,Automatic,53377,4,65.5
suzuki,cultus,vxri,2011,Multan,Petrol,1000.0,Manual,25000,14,12.9
honda,city,1.5 i-vtec prosmatec,2018,Islamabad,Petrol,1500.0,Automatic,55000,7,37.95
suzuki,alto,vxl ags,2021,Jhang,Petrol,660.0,Automatic,75000,4,28.0
toyota,corolla,altis grande cvt-i 1.8,2017,Lahore,Petrol,1800.0,Automatic,76234,8,48.9
daihatsu,mira,b sa iii,2022,Lahore,Petrol,660.0,Automatic,10000,3,37.25
suzuki,alto,vxr,2006,Karachi,Petrol,1000.0,Manual,221758,19,6.5
toyota,land cruiser,zx,2019,Lahore,Petrol,4600.0,Automatic,7800,6,465.0
daihatsu,mira,x sa lll,2022,Karachi,Petrol,660.0,Automatic,45000,3,36.5
toyota,belta,x 1.0,2006,Multan,Petrol,1000.0,Automatic,190835,19,22.5
honda,city,1.3 i-vtec,2010,Lahore,Petrol,1300.0,Manual,186100,15,24.65
toyota,land cruiser,ax,2012,Lahore,Petrol,4600.0,Automatic,110000,13,232.0
suzuki,alto,vxl ags,2023,Rawalpindi,Petrol,660.0,Automatic,35200,2,29.9
toyota,land cruiser,zx,2017,Lahore,Petrol,4600.0,Automatic,45950,8,399.0
kia,carnival,gls,2021,Lahore,Petrol,3470.0,Automatic,108233,4,117.0
toyota,raize,z,2021,Lahore,Petrol,1000.0,Automatic,33978,4,57.9
toyota,c-hr,g nero,2019,Islamabad,Hybrid,1800.0,Automatic,75883,6,88.0
kia,picanto,1.0 at,2024,Karachi,Petrol,1000.0,Automatic,5292,1,36.0
suzuki,mehran,vx euro ii,2019,Islamabad,Petrol,796.0,Manual,65000,6,16.5
toyota,aqua,z,2021,Lahore,Hybrid,1500.0,Automatic,114000,4,64.5
suzuki,mehran,vx,1998,Islamabad,Petrol,800.0,Manual,1,27,4.95
daihatsu,mira,l sa iii,2022,Rawalpindi,Petrol,660.0,Automatic,11142,3,37.0
suzuki,mehran,vx,2007,Lahore,Petrol,800.0,Manual,100000,18,7.75
suzuki,alto,vxr,2010,Lahore,Petrol,1000.0,Manual,76000,15,11.95
honda,civic,ex,1994,Lahore,Petrol,1500.0,Manual,300000,31,8.0
toyota,corolla,altis cvt-i 1.8,2019,Islamabad,Petrol,1800.0,Automatic,79000,6,53.0
toyota,roomy,xs,2022,Faisalabad,Petrol,1000.0,Automatic,106000,3,39.75
suzuki,cultus,vxli,2010,Islamabad,Petrol,1000.0,Manual,100000,15,12.35
toyota,passo,x l package,2013,Lahore,Petrol,1000.0,Automatic,285000,12,29.5
toyota,corolla cross,1.8 hev x,2024,Nawabshah,Hybrid,1800.0,Automatic,21500,1,83.1
honda,civic,vti oriel prosmatec 1.6,2005,Talagang,Petrol,1600.0,Automatic,220693,20,19.5
suzuki,wagon r,vxl,2017,Karachi,Petrol,1000.0,Manual,58000,8,23.0
toyota,corolla,xli vvti,2011,Rawalpindi,Petrol,1300.0,Manual,185754,14,28.0
toyota,corolla fielder,hybrid g,2015,Peshawar,Hybrid,1500.0,Automatic,121908,10,46.5
honda,civic rebirth,oriel prosmatec ug,2015,Okara,Petrol,1800.0,Automatic,156000,10,33.95
baic,bj40 plus,honorable edition,2023,Peshawar,Petrol,2000.0,Automatic,8000,2,94.0
hyundai,elantra,hybrid,2025,Lahore,Hybrid,1600.0,Automatic,21000,0,95.0
kia,sportage,awd,2022,Peshawar,Petrol,2000.0,Automatic,68000,3,75.5
hyundai,tucson,hybrid signature,2025,Rawalpindi,Hybrid,1600.0,Automatic,10,0,125.0
daihatsu,mira,l sa iii,2022,Karachi,Petrol,660.0,Automatic,50000,3,34.5
chery,tiggo 8 pro,1.6 dex plus,2022,Multan,Petrol,1600.0,Automatic,34640,3,81.0
honda,n wgn,g,2016,Lahore,Petrol,660.0,Automatic,101586,9,27.75
toyota,fortuner,2.8 sigma 4,2018,Karachi,Diesel,2800.0,Automatic,81000,7,120.0
suzuki,mehran,vx euro ii,2012,Lahore,Petrol,796.0,Manual,80936,13,11.5
toyota,passo,plus hana c,2013,Karachi,Petrol,1000.0,Automatic,93000,12,23.25
toyota,prius,s led edition 1.8,2013,Karachi,Hybrid,1800.0,Automatic,80000,12,38.5
honda,civic,oriel 1.8 i-vtec cvt,2017,Lahore,Petrol,1800.0,Automatic,85311,8,48.0
toyota,land cruiser,zx,2010,Lahore,Petrol,4600.0,Automatic,90246,15,228.0
honda,city,i-dsi,2007,Islamabad,Petrol,1300.0,Manual,357000,18,21.5
suzuki,mehran,vx,2008,Lahore,Petrol,800.0,Manual,98000,17,6.2
toyota,raize,z,2020,Karachi,Petrol,1000.0,Automatic,17000,5,63.5
toyota,land cruiser,zx,2020,Karachi,Petrol,4600.0,Automatic,39000,5,485.0
toyota,corolla,xli vvti,2015,Malakwal,Petrol,1300.0,Manual,180000,10,27.0
honda,city,1.3 i-vtec prosmatec,2016,Lahore,Petrol,1300.0,Automatic,226630,9,32.5
honda,city,i-dsi,2005,Lahore,Petrol,1300.0,Manual,190000,20,17.55
toyota,land cruiser,zx,2019,Lahore,Petrol,4600.0,Automatic,7800,6,465.0
daihatsu,mira,x sa lll,2022,Karachi,Petrol,660.0,Automatic,45000,3,36.5
honda,br-v,i-vtec,2019,Karachi,Petrol,1500.0,Automatic,107000,6,36.5
honda,civic,vti oriel prosmatec 1.8 i-vtec,2014,Lahore,Petrol,1800.0,Automatic,150000,11,33.0
toyota,belta,x 1.0,2006,Multan,Petrol,1000.0,Automatic,190835,19,22.5
honda,city,1.3 i-vtec,2010,Lahore,Petrol,1300.0,Manual,186100,15,24.65
suzuki,alto,g,2006,Islamabad,Petrol,660.0,Automatic,54000,19,11.0
suzuki,cultus,vxr,2004,Rawalpindi,Petrol,1000.0,Manual,100000,21,10.0
mercedes benz,c class,c180,2021,Lahore,Petrol,1600.0,Automatic,1,4,265.0
toyota,land cruiser,ax,2012,Lahore,Petrol,4600.0,Automatic,110000,13,232.0
suzuki,alto,vxl ags,2023,Rawalpindi,Petrol,660.0,Automatic,35200,2,29.9
toyota,land cruiser,zx,2017,Lahore,Petrol,4600.0,Automatic,45950,8,399.0
honda,city,1.3 i-vtec,2012,Islamabad,Petrol,1300.0,Manual,83000,13,29.0
toyota,corolla,xli vvti,2012,Islamabad,Petrol,1300.0,Manual,209533,13,26.2
toyota,aqua,s,2013,Islamabad,Hybrid,1500.0,Automatic,162300,12,33.45
mercedes benz,s class,s500,2006,Lahore,Petrol,5500.0,Automatic,161446,19,118.0
toyota,corolla,gli 1.3 vvti,2011,Multan,Petrol,1300.0,Manual,112198,14,30.0
suzuki,alto,vxl ags,2020,Karachi,Petrol,660.0,Automatic,55129,5,24.8
suzuki,mehran,vxr euro ii (cng),2017,Karachi,CNG,796.0,Manual,27565,8,15.0
toyota,prado,tx 2.8 d at,2019,Multan,Diesel,2755.0,Automatic,85961,6,295.0
suzuki,alto,hybrid s,2023,Multan,Hybrid,660.0,Automatic,16377,2,35.0
honda,city,aspire prosmatec 1.5 i-vtec,2017,Karachi,Petrol,1500.0,Automatic,43000,8,28.0
hyundai,tucson,awd a/t ultimate,2022,Lahore,Petrol,2000.0,Automatic,39000,3,75.0
nissan,dayz,highway star s hybrid x pro pilot,2022,Multan,Hybrid,660.0,Automatic,30206,3,33.0
mg,hs,phev,2025,Multan,Hybrid,1500.0,Automatic,7944,0,104.0
toyota,raize,z,2020,Karachi,Petrol,1000.0,Automatic,27000,5,63.5
toyota,raize,z,2020,Karachi,Petrol,1000.0,Automatic,20000,5,61.5
toyota,aqua,s,2013,Islamabad,Hybrid,1500.0,Automatic,162300,12,33.45
kia,carnival,gls,2021,Lahore,Petrol,3470.0,Automatic,108233,4,117.0
toyota,raize,z,2021,Lahore,Petrol,1000.0,Automatic,33978,4,57.9
hyundai,elantra,hybrid,2025,Lahore,Hybrid,1600.0,Automatic,21000,0,95.0
suzuki,swift,dlx automatic 1.3,2012,Lahore,Petrol,1300.0,Automatic,114000,13,22.0
toyota,premio,f 1.5,2006,Abbottabad,Petrol,1500.0,Automatic,285920,19,39.0
suzuki,alto,vxr,2005,Kamalia,Petrol,1000.0,Manual,98000,20,9.5
kia,sportage,awd,2022,Peshawar,Petrol,2000.0,Automatic,68000,3,75.5
hyundai,tucson,hybrid signature,2025,Rawalpindi,Hybrid,1600.0,Automatic,10,0,125.0
daihatsu,mira,l sa iii,2022,Karachi,Petrol,660.0,Automatic,50000,3,34.5
chery,tiggo 8 pro,1.6 dex plus,2022,Multan,Petrol,1600.0,Automatic,34640,3,81.0
honda,n wgn,g,2016,Lahore,Petrol,660.0,Automatic,101586,9,27.75
toyota,corolla,xli vvti,2008,Karachi,Petrol,1300.0,Manual,137000,17,16.5
suzuki,alto,vxl ags,2024,Sargodha,Petrol,660.0,Automatic,8500,1,31.25
toyota,fortuner,2.8 sigma 4,2018,Karachi,Diesel,2800.0,Automatic,81000,7,120.0
suzuki,mehran,vx euro ii,2012,Lahore,Petrol,796.0,Manual,80936,13,11.5
toyota,passo,plus hana c,2013,Karachi,Petrol,1000.0,Automatic,93000,12,23.25
toyota,yaris sedan,ativ x cvt 1.5,2021,Karachi,Petrol,1500.0,Automatic,79000,4,44.5
toyota,corolla,se saloon,1986,Karachi,Petrol,1600.0,Manual,123000,39,6.5
toyota,prius,s led edition 1.8,2013,Karachi,Hybrid,1800.0,Automatic,80000,12,38.5
suzuki,alto,vxl ags,2023,Lahore,Petrol,660.0,Automatic,34800,2,29.5
suzuki,bolan,vx euro ii,2022,Lahore,Petrol,800.0,Manual,7500,3,21.0
toyota,yaris sedan,ativ x cvt 1.5,2022,Talagang,Petrol,1500.0,Automatic,48000,3,50.0
toyota,raize,z,2020,Karachi,Petrol,1000.0,Automatic,20000,5,61.5
toyota,corolla,altis cvt-i 1.8,2018,Karachi,Petrol,1800.0,Automatic,100662,7,41.0
toyota,fortuner,legender,2023,Lahore,Diesel,2800.0,Automatic,40000,2,180.0
toyota,vitz,f 1.0,2014,Karachi,Petrol,1000.0,Automatic,101363,11,30.0
hyundai,sonata,n line 2.5 turbo,2025,Lahore,Petrol,2500.0,Automatic,6500,0,168.0
jac,t9,hunter,2025,Multan,Diesel,2000.0,Automatic,354,0,115.0
honda,br-v,i-vtec s,2020,Lahore,Petrol,1500.0,Automatic,57000,5,49.9
suzuki,ciaz,automatic,2017,Karachi,Petrol,1400.0,Automatic,145294,8,26.0
dfsk,glory 580,pro,2022,Faisalabad,Petrol,1500.0,Automatic,58000,3,51.0
honda,civic,oriel 1.8 i-vtec cvt,2017,Lahore,Petrol,1800.0,Automatic,85311,8,48.0
hyundai,santro,exec,2003,Lahore,Petrol,1000.0,Manual,432526,22,8.75
toyota,land cruiser,zx,2010,Lahore,Petrol,4600.0,Automatic,90246,15,228.0
mercedes benz,s class,s500,2006,Lahore,Petrol,5500.0,Automatic,161446,19,118.0
changan,karvaan,plus,2020,Karachi,Petrol,1000.0,Manual,9965,5,21.75
honda,civic,rs,2023,Islamabad,Petrol,1500.0,Automatic,32000,2,91.0
toyota,corolla,gli 1.3 vvti,2011,Multan,Petrol,1300.0,Manual,112198,14,30.0
suzuki,alto,vxl ags,2020,Karachi,Petrol,660.0,Automatic,55129,5,24.8
honda,br-v,i-vtec s,2021,Rahim Yar Khan,Petrol,1500.0,Automatic,112000,4,49.1
toyota,corolla,gli limited edition 1.3 vvti,2013,Swabi,Petrol,1300.0,Manual,195000,12,32.0
honda,civic,oriel 1.8 i-vtec cvt,2018,Burewala,Petrol,1800.0,Automatic,78000,7,51.3
suzuki,mehran,vxr euro ii (cng),2017,Karachi,CNG,796.0,Manual,27565,8,15.0
toyota,prado,tx 2.8 d at,2019,Multan,Diesel,2755.0,Automatic,85961,6,295.0
honda,civic,oriel 1.8 i-vtec cvt,2022,Ahmed Pur East,Petrol,1800.0,Automatic,67000,3,69.1
suzuki,cultus,euro ii,2013,Multan,Petrol,1000.0,Manual,40000,12,15.2
toyota,corolla,gli automatic 1.6 vvti,2013,Dina,Petrol,1600.0,Automatic,150000,12,37.0
suzuki,margalla,gl,1995,Mandi bahauddin,Petrol,1300.0,Manual,100000,30,6.8
honda,city,1.2l m/t,2021,Rawalpindi,Petrol,1200.0,Manual,52000,4,42.25
honda,civic,vti oriel 1.6,2000,Mardan,Petrol,1600.0,Manual,140000,25,16.2
toyota,passo,x g package,2014,Rawalpindi,Petrol,1000.0,Automatic,105000,11,30.2
suzuki,swift,dlx 1.3,2016,Gujranwala,Petrol,1300.0,Manual,86000,9,2.4
toyota,corolla,xli vvti,2012,Karachi,Petrol,1300.0,Manual,152000,13,26.9
daihatsu,mira,l,2022,Lahore,Petrol,660.0,Automatic,70000,3,35.0
toyota,hilux,d-4d automatic,2010,Lahore,Diesel,3000.0,Automatic,160000,15,55.5
honda,hr-v,vti-s,2022,Lahore,Petrol,1500.0,Automatic,20737,3,66.5
suzuki,alto,vxl ags,2023,Islamabad,Petrol,660.0,Automatic,50000,2,29.25
honda,br-v,i-vtec s,2022,Islamabad,Petrol,1500.0,Automatic,50033,3,53.9
toyota,vitz,fl 1.0,1999,Islamabad,Petrol,1000.0,Automatic,153489,26,17.5
honda,vezel,x honda sensing,2019,Islamabad,Hybrid,1500.0,Automatic,143000,6,72.0
toyota,prius,s 1.8,2014,Islamabad,Hybrid,1800.0,Automatic,152053,11,46.0
toyota,hilux,vigo champ g,2013,Multan,Diesel,2500.0,Automatic,198361,12,60.0
